PFG,PRINCIPAL FINANCIAL GROUP,NYSE,16473278712
SRCL,STERICYCLE INC,NASDAQ,11985675683
UHS,UNIVERSAL HEALTH SERVICES-B,NYSE,14421242248
ETFC,E*TRADE FINANCIAL CORP,NASDAQ,8222013166
SWKS,SKYWORKS SOLUTIONS INC,NASDAQ,17730110851
NOV,NATIONAL OILWELL VARCO INC,NYSE,15890949420
DGX,QUEST DIAGNOSTICS INC,NYSE,10651632452
ROK,ROCKWELL AUTOMATION INC,NYSE,15517832411
KHC,KRAFT HEINZ CO/THE,NASDAQ,97450559988
AMT,AMERICAN TOWER CORP,NYSE,40363886775
REGN,REGENERON PHARMACEUTICALS,NASDAQ,57243614937
AMZN,AMAZON.COM INC,NASDAQ,2.50239E+11
RL,RALPH LAUREN CORP,NYSE,10566918237
BXP,BOSTON PROPERTIES INC,NYSE,19150119019
APH,AMPHENOL CORP-CL A,NYSE,17281081576
PXD,PIONEER NATURAL RESOURCES CO,NYSE,18424974164
VLO,VALERO ENERGY CORP,NYSE,32887461276
LLL,L-3 COMMUNICATIONS HOLDINGS,NYSE,9422815952
WU,WESTERN UNION CO,NYSE,10341145051
CHRW,C.H. ROBINSON WORLDWIDE INC,NASDAQ,10313608481
ACN,ACCENTURE PLC-CL A,NYSE,68129213910
YUM,YUM! BRANDS INC,NYSE,37868472367
PLD,PROLOGIS INC,NYSE,21297270080
FE,FIRSTENERGY CORP,NYSE,14545069219
VRSN,VERISIGN INC,NASDAQ,8016005293
PWR,QUANTA SERVICES INC,NYSE,5607338368
AEE,AMEREN CORPORATION,NYSE,10091181249
HSIC,HENRY SCHEIN INC,NASDAQ,12241840052
BRCM,BROADCOM CORP-CL A,NASDAQ,30653500000
NVDA,NVIDIA CORP,NASDAQ,10916020000
SEE,SEALED AIR CORP,NYSE,11245964306
CTSH,COGNIZANT TECH SOLUTIONS-A,NASDAQ,38389346248
ISRG,INTUITIVE SURGICAL INC,NASDAQ,19490566680
